Name,Nationality,Years,Link
"Oeben, Jean-François",German,1721 - 1763,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=2323
"Oehler, Christoph",German,born 1881,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5116
"Oehme, Ernst Ferdinand",German,1797 - 1855,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=28275
"Oeser, Adam Friedrich",German,1717 - 1799,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=14752
"Oesterley, Carl",German,1805 - 1891,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=31166
"Offin, Charles Z.",American,1899 - 1989,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5117
"Ofili, Chris",British,born 1968,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=36003
"O'Hanlon, Ann",American,1908 - 1998,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=34254
"O'Hara, Frank",American,1926 - 1966,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=21160
"O'Hara, Frederick",American,1904 - 1980,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5119
"O'Hara, James Frederick",American,1904 - 1980,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=5119
"O'Hara, Morgan",American,born 1941,https://web.archive.org/web/20121007172952/http://www.nga.gov/cgi-bin/tsearch?artistid=26223
"P., Meyer",French (?),active 18th century,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=30966
"Pach, Walter",American,1883 - 1958,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=25887
"Pachl, Delmar",American,1912 - 1944,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=33860
Pacino di Bonaguida,Italian,active 1302 - c. 1340,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=4675
"Packard, Emmy Lou",American,1914 - 1998,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=34257
"Pacovská, Kvetá",Czech,born 1928,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=24811
"Padgett, Ron",American,born 1942,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=17588
Paduan 14th Century,NA,NA,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=30624
Paduan 15th Century,NA,NA,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=8301
Paduan 16th Century,NA,NA,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=8318
"Paemel, Jules van",Belgian,1896 - 1968,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=34893
"Paeschke, Paul",German,1875 - 1943,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=26450
"Pagani, Matteo",Italian,active 1543/1562,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=2103
"Pagano, Matteo",Italian,active 1543/1562,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=2103
"Pagano, Matteo, called Matteo della Fede",Italian,active 1543/1562,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=2103
"Page, George",NA,NA,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=15430
"Page, Marian",American,active c. 1935,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=7921
"Paggi, Giovanni Battista",Italian,1554 - 1627,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=28426
"Paik, Nam June",American,born South Korea,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=5145
"Pain, James",British,active 1780s,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=22267
"Pain, William",British,c. 1730 - c. 1794,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=11619
"Paine, James",British,1717 - 1789,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=11618
"Paine, Jean",French,1623 - 1700,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=5198
"Paine, Roxy",American,born 1966,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=34629
Painter of the Three Graces,Italian,,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=9910
"Pajou, Augustin",French,1730 - 1809,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=2218
"Pakhamov, Aleksei Fedorovich",Russian,1900 - 1973,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=5146
"Paladino, Giovanni",Italian,1647 - 1689,https://web.archive.org/web/20121007173034/http://www.nga.gov/cgi-bin/tsearch?artistid=2219
"Quackenbush, Lloyd",American,active c. 1935,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=7969
"Quad, Matthis",Netherlandish,1557 - c. 1610,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=6293
"Quadri, Carlo",Italian,active late 17th century - early 18th century,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=19570
"Quaglio, Domenico",German,1787 - 1837,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=6057
"Quarenghi, Giacomo",Italian,1744 - 1817,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=2701
"Quarenghi, Giulio, Cavaliere",Italian,active c. 1821,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=23710
"Quarry, Regina Katharina",German,c. 1762 - c. 1818,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=5290
"Quarry, Regine Catherine",German,c. 1762 - c. 1818,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=5290
"Quast, Pieter Jansz",Dutch,1606 - 1647,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=2702
"Queboorn, Crispyn van den",Dutch,1604 - 1652,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=6294
"Quellinus II, Erasmus",Netherlandish,1607 - 1678,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=19948
"Quentin, Bernard Maurice",French,born 1923,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=5291
"Quentin, Leonard",American,active 20th century,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=5292
"Quercia, Jacopo della",Italian,1371/1374 - 1438,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=2240
"Querelles, Chevalier de",French,active c. 1770,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=7057
"Quesnel, François",French,1543 - 1619,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=9806
"Quest, Charles",American,1904 - 1993,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=25190
"Queverdo, François Marie Isidore",French,1748 - 1797,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=5293
"Queyroy, Armand",French,born 1830,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=6797
"Quidor, John",American,1801 - 1881,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=1810
"Quinkhard, Jan Maurits",Dutch,1688 - 1772,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=6778
"Quinn, Robert",active second half 20th century,,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=26035
"Quiyun, Hu",NA,NA,https://web.archive.org/web/20121007172920/http://www.nga.gov/cgi-bin/tsearch?artistid=26703
"Rabaliatti, Franz Wilhelm",German,1716 - 1782,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=21151
"Rabel, Jean",French,c. 1545 - 1603,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5303
"Rabelais, François",French,c. 1490 - probably 1553,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=7058
"Rabino, Saul",American,1892 - 1969,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=33900
"Raboy, Emanuel Mac",American,1914 - 1967,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=33901
"Rachou, Henri",NA,NA,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=22916
"Racine, Jean",French,1639 - 1699,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=7059
"Rackley, Mildred",American,1906 - 1992,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=33902
"Racz, André",American,1916 - 1994,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5304
"Raddon, William",British,active 1817/1862,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=6295
Radel,German,active 1767,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=26371
"Rademaker, Abraham",Dutch,1675 - 1735,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5305
"Radi, Bernardino",Italian,1581 - 1643,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=11668
"Radigues, Antoine",French,1721 - 1809,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5306
"Radnitzky, Emmanuel",American,1890 - 1976,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5317
"Radziwill, Franz",German,born 1895,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=2703
"Raeburn, Henry, Sir",Scottish,1756 - 1823,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=1811
"Raes II, Jan",Flemish,active 1625/1630,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=2327
"Raetz, Markus",Swiss,born 1941,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=19107
"Raffael, Joseph",American,born 1933,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=6073
"Raffaele, Joe",American,born 1933,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=6073
Raffaele dei Capponi,Italian,1466 - 1524,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=12984
Raffaele dei Carli,Italian,1466 - 1524,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=12984
"Raffaëlli, Jean François",French,1850 - 1924,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=1812
"Raffaëlli, Jean-François",French,1850 - 1924,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=1812
Raffaellino da Reggio,Italian,c. 1550 - 1578,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5042
Raffaellino del Garbo,Italian,1466 - 1524,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=12984
"Raffet, Auguste",French,1804 - 1860,https://web.archive.org/web/20121007172941/http://www.nga.gov/cgi-bin/tsearch?artistid=5307
"Sabatelli I, Luigi",Italian,1772 - 1850,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5419
Sabin,American,active 20th century,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5421
"Sabol, Audrey",American,,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=34875
"Sacchetti, Lorenzo",Italian,1759 - after 1834,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=6834
"Sacchi, Andrea",Italian,1599 - 1661,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=2727
"Sacchis, Giovanni Antonio de",Italian,probably 1484 - 1539,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=2690
"Sachs, Lambert",American,1818 - 1903,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=1852
"Sacilatto, Deli",active second half 20th century,,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=23494
"Saciloto, Deli",NA,NA,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=27161
"Sacilotto, Deli",American,,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=27118
"Sackerman, Gilbert",American,active c. 1935,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=8021
"Sacon, Jacques",French,1490 - 1515,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=33001
"Saconni, Carlo",Italian,,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=30500
"Sadeler, Justus",Flemish,1583 - 1620,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=23812
"Sadeler I, Jan",Flemish,1550 - 1600,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5423
"Sadeler I, Johann",Flemish,1550 - 1600,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5423
"Sadeler I, Johannes",Flemish,1550 - 1600,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5423
"Sadeler I, Raphael",Flemish,1560/1561 - 1628 or 1632,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5424
"Sadeler II, Aegidius",Flemish,c. 1570 - 1629,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5422
"Sadeler II, Egidius",Flemish,c. 1570 - 1629,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5422
"Sadeler II, Gillis",Flemish,c. 1570 - 1629,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5422
"Sadeler II, Raphael",Flemish,1584 - 1632,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5425
"Saenredam, Jan Pietersz",Dutch,1565 - 1607,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5426
"Saenredam, Pieter Jansz",Dutch,1597 - 1665,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=1853
"Saff, Donald",American,born 1937,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5427
"Safford, Ruth Perkins",American,1897 - 1979,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=2726
"Saftleven, Cornelis",Dutch,1607 - 1681,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=22900
"Saftleven, Herman",Dutch,1609 - 1685,https://web.archive.org/web/20121007173042/http://www.nga.gov/cgi-bin/tsearch?artistid=5428
"Taber, Eileen",American,active 1956,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3159
"Tabor, Robert",American,,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=34474
"Tabuchi, Yasse",Japanese,born 1921,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3160
"Tacca, Pietro",Italian,1577 - 1640,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=2279
"Tack, Augustus Vincent",American,1870 - 1949,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=1917
"Taddeo di Giovanni Bono, Michele di",Italian,active 1420/1462,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=1339
"Taglioni, L.",Italian,active second quarter 19th century,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=22226
"Taiée, Alfred",French,1820 - after 1880,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3161
"Taiée, Jean Alfred",French,1820 - after 1880,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3161
"Tait, Agnes Gabrielle",American,1894 - 1981,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=34060
"Tait, Agnes Gabrielle McNulty",American,1894 - 1981,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=34060
"Takada, Hidekatsu",NA,NA,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=26541
"Takagi, Madoka",American,born Japan 1956,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=28886
"Takahashi, Hiroaki",Japanese,1871 - 1944,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=6451
"Takal, Peter",American,1905 - 1995,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3162
"Takatsuki, Hitoshi",Japanese,active 20th century,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=5832
"Takemoto, Henry",active second half 20th century,,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=25982
Takis,Greek,born 1925,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3163
"Talasnik, Stephen",American,,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=28402
"Talbot, Thomas",English,active probably late 16th or early 17th century,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=6031
"Talbot, William Henry Fox",British,1800 - 1877,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=13359
"Tal-Coat, Pierre",French,1905 - 1985,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=24028
"Tallman, Verna",American,active c. 1935,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=8115
"Tam, Reuben",American,1916 - 1991,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=34061
"Tamagami, Tsuneo",Japanese,born 1923,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=3164
"Tamagni, Vincenzo",Italian,1492 - c. 1530,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=10517
"Tamayo, Rufino",Mexican,1899 - 1991,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=1918
"Tambono, Michele di Taddeo di Giovanni",Italian,active 1420/1462,https://web.archive.org/web/20121007173006/http://www.nga.gov/cgi-bin/tsearch?artistid=1339
"U., E.",German (?),active 18th or 19th century,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=22247
"Ubertini, Francesco",Italian,1494 - 1557,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=131
"Uchima, Ansei",American,born 1921,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=3238
"Uchiyama, Shigeru",Japanese,born 1907,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=3239
"Uchiyama, Ukai",Japanese,born 1907,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=3239
"Uchteritz, Karl Siegmund von",German,active 18th century,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=7081
"Uden, Lucas van",Flemish,1595 - 1672,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=6934
"Udine, Giovanni da",Italian,c. 1487 - 1535,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=18986
"Uecker, Gunther",German,born 1930,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=17804
"Ueda, Sokyu",Japanese,active 20th century,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=3240
"Uggeri, Angelo",Italian,1754 - 1837,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=5892
"Ughi, Lodovico",Italian,active c. 1729,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=35207
"Ughi, Luigi",Italian,active 1729,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=19600
Ugo da Carpi,Italian,c. 1480 - 1532,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=3694
"Uhden, Maria",German,1892 - 1918,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=25800
"Uhl, Joseph",German,born 1877,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=6958
"Uhl, Kathryn",American,active c. 1935,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=8148
"Ulft, Jacob van der",Dutch,1621 - 1689,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=6349
"Ullrich, Heinrich",German,died 1621,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=6286
Ulocrino,Italian,active early 16th century,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=2287
"Ulreich, Edward Buk",American,1889 - 1966,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=34093
"Ulreich, Nura Woodson",American,1899 - 1950,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=33125
"Ulrich, Alois E.",American,active c. 1935,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=8149
"Ulrich, Boas",German,1550 - 1623,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=2335
"Ulrich, Johann Jakob",Swiss,1798 - 1877,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=34835
"Umana, Alfonso",American,1908 - 1994,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=8150
"Umbach, Jonas",German,c. 1624 - 1693,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=10036
"Umbehr, Otto",German,1902 - 1980,https://web.archive.org/web/20121007173020/http://www.nga.gov/cgi-bin/tsearch?artistid=13557
"Vaart, Jan van der",Dutch,1647 - 1721,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=6320
"Vaccaro, Pat",American,born 1920,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=35049
"Vaccaro, Patrick Frank",American,born 1920,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=35049
"Vaccaro, Patt",American,born 1920,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=35049
"Váchal, Josef",Czech,1884 - 1969,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=24765
"Vacher, Sydney",British,1854 - 1934,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3248
"Vacquerie, Auguste",French,1819 - 1895,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=19004
"Vadder, Lodewijk de",Flemish,1605 - 1655,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3249
"Vade, Jean-Joseph",French,1720 - 1757,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=7082
"Vaenius, Otto van",Flemish,1556 - 1629,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=6260
"Vaga, Perino del",Italian,1501 - 1547,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=1777
"Vail, Eugene Lawrence",American,1857 - 1934,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=1945
"Vail, James",American,active c. 1935,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=8155
"Vaillant, Bernard",Flemish,1632 - 1698,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3250
"Vaillant, Wallerant",Flemish,1623 - 1677,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3251
"Valadier, Giuseppe",Italian,1762 - 1839,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=11589
"Valadon, Jules Emmanuel",French,1826 - 1900,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=21950
"Valadon, Marie Clementine",French,1865 - 1938,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3252
"Valadon, Suzanne",French,1865 - 1938,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3252
"Valck, Gerard",Dutch,1651/1652 - 1726,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3253
"Valdenuit, Thomas Bluget de",French,1763 - 1846,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=27392
"Valdés, Lucas de",Spanish,1661 - 1724,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=12113
"Valdés Leal, Juan de",Spanish,1622 - 1690,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=1946
"Valdés Niza Leal, Juan de",Spanish,1622 - 1690,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=1946
"Valdor, Johannes",Flemish,c. 1580 - c. 1640,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=5960
"Valenciennes, Pierre-Henri de",French,1750 - 1819,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=13593
"Valentin, Curt",American,born Germany,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=33008
Valentin de Boulogne,French,c. 1591 - 1632,https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=19114
