Name,Nationality,Years,Link
"da Urbino, Clemente",Italian,active 1468,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=2066
"da Vinci, Leonardo",Italian,1452 - 1519,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=1479
"Dadante, Michael",American,active c. 1935,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=7412
"Daddi, Bernardo",Italian,active 1312 - probably 1348,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=1204
"Dadler, Sebastian",German,1586 - 1657,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=9900
"Dadley, J.",British,active 1797,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=6194
"Daeda, Orison",American,active c. 1935,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=7413
"Dael, Cornelis van",Netherlandish,1721 - 1766,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=11726
"Dagoty, Jacques-Fabien Gautier",French,1716 - 1785,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=21956
"d'Aguilon, François",Flemish,1567 - 1617,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=7151
"Dahl, Einar",American,1884 - 1976,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=34224
"Dahl, Johan Christian",Norwegian,1788 - 1857,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=5612
"Dahl, Johan Christian Clausen",Norwegian,1788 - 1857,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=5612
"Dahlberg, Erik Jönson",Swedish,1625 - 1703,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=11643
"Dahlgreen, Charles William",American,1864 - 1955,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=33330
"Dahn, Walter",German,born 1954,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=9790
"Danh, Binh",Vietnamese,born 1977,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=36266
"Daigremont, Marie",French,active 1709,https://web.archive.org/web/20121007173048/http://www.nga.gov/cgi-bin/tsearch?artistid=12007
"Eagerton, Robert Pierce",American,born 1940,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4010
"Eaker, Alan",NA,NA,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=17577
"Eakins, Thomas",American,1844 - 1916,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=1260
"Earl, Florence",American,active c. 1935,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=7472
"Earl, Ralph",American,1751 - 1801,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=1261
"Earl, Ralph Eleaser Whiteside",American,1788 - 1838,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=1262
"Earle, Edwin",American,1909 - 1989,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=33384
"Earlom, Richard",British,1743 - 1822,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4011
"Easling, J.C.",British,active 1812/1833,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4012
"Eastman, Emily",American,1804 - active 1824,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=5718
"Easton, Linwood",American,1892 - 1939,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4013
"Eaton, Charles Warren",American,1857 - 1937,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=25867
"Eaton, R.",British,,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=34531
"Ebdon, Christopher",British,active 1760s,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=22288
"Ebell, Paul Heinrich",German,born 1908,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=26431
"Eberbach, Walter",German,1866 - 1944,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=28014
"Eby, Harold Kerr",American,1889 - 1946,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2486
"Eby, Kerr",American,1889 - 1946,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2486
"Eckart, Johann Georg",German,active c. 1820 - 1854,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4014
"Eckenbrecher, Karl Paul Themistocles von",German,1842 - 1921,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2487
"Eckenbrecher, Themistocles von",German,1842 - 1921,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2487
"Eckersberg, Christoffer Wilhelm",Danish,1783 - 1853,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=13623
"Eckford, Jessie Jo",American,1895 - 1941,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=33385
"Eckman, Edouard",Flemish,born c. 1600,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=5643
"Ecman, Edouard",Flemish,born c. 1600,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=5643
"Eddins, Homer",American,1902 - 1958,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=33386
"Eddleman, Brian",NA,NA,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=17579
"Edelfelt, Albert",Finnish,1854 - 1905,https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4015
"Faber, David",American,born 1950,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=29971
"Faber, Johann Joachim",German,1778 - 1846,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=14182
"Faber, Karl Gottfried Traugott",German,1786 - 1863,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=28714
"Faber II, John",Dutch,c. 1684 - 1756,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4047
"Fabilli, Mary",American,born 1914,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=27180
"Fabri, Ralph",American,1894 - 1975,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4048
"Fabriano, Gentile da",Italian,c. 1370 - 1427,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1331
"Fabritius, Carel",Dutch,c. 1622 - 1654,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6892
"Fabronius, Dominique C.",American,born Belgium,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=34923
"Faccini, Pietro",Italian,probably c. 1562 - 1602,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4049
"Faed, John",Scottish,probably 1819 - 1902,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=5645
Faentine 16th Century,NA,NA,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=9908
"Faes, Pieter van der",British,1618 - 1680,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1477
"Fagan, James",American,1864 - 1910,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33404
"Fahlstrom, Oyvind",American,1928 - 1976,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4053
"Faigin, Samuel",American,active c. 1935,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7489
"Fairbanks, George",American,active c. 1935,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7490
"Fairbanks, Semantha",American,active c. 1843,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=2495
"Fairchild, Elizabeth",American,active c. 1935,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7491
"Fairclough, Wilfred",British,born 1907,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4054
"Fairland, William",British,active c. 1828,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6092
"Faithorne, William",English,1616 - 1691,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055
"Faithorne, William I",English,1616 - 1691,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055
"Faithorne the Elder, William",English,1616 - 1691,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055
"Falcieri, Biagio",Italian,1628 - 1703,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6820
"Falcini, Domenico",Italian,born c. 1570,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=23452
"Falck, Jeremias",German,c. 1619 - 1677,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4056
"Falcone, Aniello",Italian,1607 - 1656,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4057
"G., O.",American,active second half 19th century,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=6894
"Gabbiani, Anton Domenico",Italian,1652 - 1726,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=5944
"Gabbuggiani, Baldassare",Italian,1689 - c. 1750,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4149
"Gabo, Naum",Russian,1890 - 1977,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=6880
"Gabriel, Ada Vorhaus",American,1898 - 1975,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=33454
"Gabriel, Joseph Marie Justin",French,born 1838,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4150
"Gabriel, Justin-J.",French,born 1838,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4150
Gabriel Jacques de Saint-Aubin,French,1724 - 1780,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=2728
"Gabriel V, Jacques",French,1667 - 1742,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=12015
"Gaci, Ludovico",Italian,active 1489,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4664
"Gacis, Ludovico",Italian,active 1489,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4664
"Gaddi, Agnolo",Italian,active 1369 - 1396,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=1327
"Gaertner, Eduard",German,1801 - 1877,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=1328
"Gaertner, Johann Philipp Eduard",German,1801 - 1877,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=1328
"Gaethke, George",American,1898 - 1982,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=33455
"Gäfgen, Wolfgang",German,born 1936,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=26435
"Gag, Wanda",American,1893 - 1946,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4151
"Gág, Wanda",American,1893 - 1946,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4151
"Ga'g, Wanda",American,1893 - 1946,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4151
"Gage, D.",English,active 17th century,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4152
"Gaggini, Domenico",Italian,active c. 1449 - 1492,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=2115
"Gagini, Domenico",Italian,active c. 1449 - 1492,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=2115
"Gagliardi, Filippo",Italian,died 1659,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=19743
"Gagliardo, Bartolommeo",Italian,1555 - c. 1626,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=27850
"Gagneraux, Baptiste",French,1765 - 1846,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=14857
"Gaillard, Claude-Ferdinand",French,1834 - 1887,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4154
"Gaillard, Ferdinand",French,1834 - 1887,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4154
"Gaillard, René",French,c. 1719 - 1790,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4155
"H., J.",American,active 1822,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1366
"Haacke, Hans",German,born 1936,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=19096
"Haacke, Hans Christoph",German,born 1936,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=19096
"Haag, Carl",German,1820 - 1915,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=25170
"Haagen, Joris van der",Dutch,1615 - 1669,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=28658
"Haake, Hans",German,born 1936,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=6901
"Haár, Ferenc",American,1908 - 1997,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=28078
